lemma,definition
سَكَّان,صانع السَّكاكِين.
وَهَم,مصدر لفعل وَهِم
قَوَارِع,جمع للاسم قَارِعَة
أُلُوك,مصدر لفعل أَلَكَ
شُبُك,أَداةٌ يوضع فيها التَّبْغُ ليُدَخَّن.
دِفَاف,جمع للاسم دَفّ
مِيْزَة,الرِّفعة.
إِبَاحِيَّة,فرقة تُبْطِل قدرة العبد على اجتناب المنهيات والإِتيان بالمأمورات، وتنفي ملكيّة الفرد، وتشرك الجميع في الأَموال والأَزواج.
شَرَائِط,جمع للاسم شَرِيطَة
أُغْوِيَّة,حُفْرَةٌ تُحْفَرُ للذِّئب ونحوه، ويُجْعَلُ فيها جَدْيٌ، فإِذا نظر إِليه سَقَطَ يريده، فيُصَاد.
سَقِل,المُنْهَضِم الخاصِرَتَيْن.
لَبْث,مصدر لفعل لَبِث
أَدْمَاس,جمع للاسم دَمْس
لاَئِحَة,الظَّاهرة.
زَهِيد,القليل.
أَشِدَّاء,جمع للاسم شَدِيد
مُتَلَوِّم,المتعرِّض للاَّئمة في الفعل السَّيِّئ.
مُتَعَبَّد,مكان التَّعبُّد.
حُذْمُور,الحذافير: وهي جوانب الشيء ونواحيه.
صِيصَاء,لغة في الشِّيصَاء.
مُنْسَرِح,أَحد بحور الشِّعْر، وهو من البحور الَّتِي قلَّ النّظم عليها في القديم والحديث وأَكثر ما يجيء على النَّحْو التَّالي:                        مستفعلن مفعولاتُ مستفعلن.
دُنًى,جمع للاسم دُنْيَا
مَشْي,مصدر لفعل مَشَى
أَخْصُن,جمع للاسم خَصِين
هَبْهَبَة,مؤنَّث الهَبْهَب: وهو السَّرِيع الخَفيف.
خِصْب,النَّماءُ والبَرَكَةُ.
صَوْغ,مصدر لفعل صَاغ
مَعَاصِر,جمع للاسم مِعْصَر
خَيْزُرَان,كلُّ عودٍ ليّن.
عَافِل,الذي يَلْبَسُ الثِّيَاب القصَار فوق الطِّوال.
قَدْر,المِقْدَار.
سُوْدُد,السِّيادَة.
خَرْس,الدَّنُّ.
خِزَاز,جمع للاسم خُزَز
قَصَائِد,جمع للاسم قَصِيد
نِضَاض,جمع للاسم نَضِيض
عَزٍ,صفة مشبهة لفعل عَزِي
طَوَاهٍ,جمع للاسم طَاهِيَة
طُلُوق,مصدر لفعل طَلَق
سَجْرَاء,صفة مشبهة لفعل سَجِر
نَطْع,بِسَاطٌ من الجلد، كثيراً ما كان يُقتَلُ فوقَه المحكومُ عليه بالقَتل.
نُدْح,الكَثْرة.
أَقْزَلاَن,ريشتان وَسْطَ ذنب العُقَاب.
صَفْحَاء,صفة مشبهة لفعل صَفِح
أَعْبُد,جمع للاسم عَبْد
عَارِم,من الأَيام: الشَّديد البَرْد.
زَرَافَى,جمع للاسم زَرَافَة
حُلُوس,جمع للاسم حِلْس
حَقْل,الأَرْضُ الفَضَاءُ الطَّيِّبة يُزْرَع فيها.
أَنْصَب,صفة مشبهة لفعل نَصِب
أَشْرَم,صفة مشبهة لفعل شَرِم
هَصِيص,مصدر لفعل هَصّ
أَفْن,مصدر لفعل أَفَنَ
فَضِيلَة,الدَّرجة الرَّفيعة في حسن الخلق.
مَعّ,مصدر لفعل مَعّ
سُمْسُم,النَّمْل الأَحْمَر.
آذَن,العَظِيم الأُذُن الطَّويلها.
مُعَيَّل,ذو العيال.
نَاهِقَة,وَاحدُ عروق اكتنفت خياشيم الدَّابَّة، يخرج منها النَّهيق.
خَلاَئِص,جمع للاسم خُلاَصَة
وُظُوب,مصدر لفعل وَظَب
أَحْلَس,صفة مشبهة لفعل حَلِسَ
خُلَصَاء,جمع للاسم خِلْص
